id,category,question,image,A,B,C,D,answerIndex,answerText,explanation,reference,difficulty,tags
1,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-04-stop.png,合并道路,靠右行车,停车标志,学校平交道,2,停车标志,正确答案是“停车标志”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
2,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-14-hill-ahead.png,前面有山坡,靠右行车,学校平交道,单行路出口,0,前面有山坡,正确答案是“前面有山坡”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
3,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-12-do-not-enter.png,合并道路,靠右平行,火车平交道,错入单程路出口,3,错入单程路出口,正确答案是“错入单程路出口”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
4,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-08-keep-right.png,停车标志,靠右行车,前路收窄,学校平交道,1,靠右行车,正确答案是“靠右行车”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
5,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-07-school-crossing.png,让路标志,靠右行车,火车平交道,学校平交道,3,学校平交道,正确答案是“学校平交道”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
6,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-03-merging-traffic-right.png,合并道路,停车标志,前面有山坡,前面路窄,0,合并道路,正确答案是“合并道路”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
7,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-05-railroad-crossing.png,合并道路,火车平交道,单行路出口,靠右行车,1,火车平交道,正确答案是“火车平交道”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
8,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-01-right-lane-ends-merge-left.png,靠右平行,前面有山坡,单行道出口,前面弯路及窄路,3,前面弯路及窄路,正确答案是“前面弯路及窄路”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
9,traffic-signs-control,这个交通标志表示什么？,https://img.openaa.com/dmv/signs/sign-02-yield.png,合并道路,停车标志,让路标志,学校平交道,2,让路标志,正确答案是“让路标志”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。,NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
10,sharing-road,汽车和单车(自行车)有什么不同?,,汽车要加汽油,自行车只有两个车轮,汽车必须有保险,"汽车行左,自行车行右",2,汽车必须有保险,正确答案是“汽车必须有保险”。驾驶员需要与校车、紧急车辆、行人、自行车和其它道路使用者安全共享道路。,NY DMV Driver’s Manual（知识点参考）,medium,sharing-road
11,special-conditions,"若驾驶时突然爆胎,应该如何?",,立即停车看,立即稳定胎盘,按喇叭,打上指挥灯,1,立即稳定胎盘,正确答案是“立即稳定胎盘”。恶劣天气、夜间、打滑或车辆故障时，应减速、保持冷静，避免急刹和猛打方向。,NY DMV Driver’s Manual（知识点参考）,medium,special-conditions
12,traffic-signs-control,让路标志表示什么意思?,,"依照正常速度前进,但要察看两旁道路情况",完全停止车子,"减低速度,必要时准备停止车子",只对负有紧急任务的车辆让路,2,"减低速度,必要时准备停止车子","正确答案是“减低速度,必要时准备停止车子”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
13,traffic-signs-control,停止标志表示什么?,,只在交叉路口(Intersection)有车辆时方停止,车子完全停止(Full stop)至少要等候一分钟,对方有车来时方停止,"完全停止,如果没有危险时再行前进",3,"完全停止,如果没有危险时再行前进","正确答案是“完全停止,如果没有危险时再行前进”。交通标志、信号灯和路面标线用于控制或提醒交通，驾驶时必须提前观察并按规定操作。",NY DMV Driver’s Manual（知识点参考）,easy,traffic-signs-control
